"decade","less than 50% of properties at major risk","more than 50% of properties at major risk","total","pct_major_risk"
"number_built_1939_or_earlier",3421,220,3641,6.04229607250755
"number_built_1940s",1654,209,1863,11.2184648416532
"number_built_1950s",1909,313,2222,14.0864086408641
"number_built_1960s",2198,465,2663,17.4615095756665
"number_built_1970s",2887,923,3810,24.2257217847769
"number_built_1980s",2388,906,3294,27.5045537340619
"number_built_1990s",4647,4064,8711,46.6536562966364
"number_built_2000s",4769,5475,10244,53.4459195626708
"number_built_2010s",3352,4461,7813,57.0971457826699
"number_built_2020s",2668,983,3651,26.9241303752397
"number_built_since_1990",15436,14983,30419,49.2553995857852
"number_built_since_2000",10789,10919,21708,50.2994287820158
"number_built_since_2010",6020,5444,11464,47.4877878576413
"total",29894,18019,47913,37.6077473754513
